Moeda,Preço,Volume em 24 h,Capitalização de mercado,FDV
Bridged Ether (StarkGate)  ETH,"US$ 1.817,81",US$ 1.639.761,US$ 161.931.028,US$ 161.931.028
Bridged Tether (Avalanche)  USDTE,"US$ 1,00",US$ 329.877,US$ 18.919.146,US$ 18.919.146
Bridged Tether (opBNB)  USDT,"US$ 1,00","US$ 4.773,32",US$ 54.716.000,US$ 54.716.000
Bridged Tether (Orbit Bridge)  OUSDT,"US$ 0,1095","US$ 3.756,61",US$ 8.846.795,US$ 8.846.795
Bridged Tether (Rainbow Bridge)  USDT.E,"US$ 1,00",US$ 211.913,US$ 30.142.625,US$ 30.142.625
Bridged Tether (Scroll)  USDT,"US$ 1,00","US$ 50.017,43",US$ 7.278.882,US$ 7.278.882
Bridged Tether (StarkGate)  USDT,US$ 1,US$ 119.080,US$ 12.336.603,US$ 12.336.603
Bridged USD Coin (Linea)  USDC,"US$ 1,00",US$ 2.897.431,US$ 17.766.362,US$ 17.766.362
Bridged USD Coin (PulseChain)  USDC,"US$ 0,9993",US$ 1.315.741,US$ 14.627.522,US$ 14.626.645
Bridged USD Coin (Scroll)  USDC,"US$ 1,00",US$ 280.686,US$ 19.322.156,US$ 19.322.156
Bridged USD Coin (StarkGate)  USDC,"US$ 0,9999",US$ 1.279.999,US$ 45.750.771,US$ 45.750.771
Bridged USDC (Base)  USDBC,"US$ 0,9993",US$ 5.568.785,US$ 14.047.357,US$ 14.047.357
Bridged USDC (Etherlink)  USDC,"US$ 0,9942",US$ 2.698.177,US$ 13.737.475,US$ 13.737.475
Bridged USDC (Immutable zkEVM)  USDC,"US$ 1,00",US$ 203.555,US$ 8.098.323,US$ 8.098.508
Bridged USDC (Polygon PoS Bridge)  USDC.E,"US$ 0,9999",US$ 8.227.543,US$ 462.888.620,US$ 462.912.134
Bridged Wrapped Bitcoin (StarkGate)  WBTC,"US$ 94.477,42","US$ 74.612,33",US$ 8.197.714,US$ 8.197.714
Bridged Wrapped stETH (Gnosis)  WSTETH,"US$ 2.182,57",US$ 367.172,US$ 57.367.219,US$ 57.367.219
Broccoli  BROCCOLI,"US$ 0,04215",US$ 13.222.773,US$ 42.170.402,US$ 42.170.402
BTC Proxy  BTCPX,"US$ 25.282,34","US$ 95,03",US$ 6.618.278,US$ 6.618.278
BTSE Token  BTSE,"US$ 1,40",US$ 1.391.455,US$ 226.154.824,US$ 279.097.531
BTU Protocol  BTU,"US$ 0,5061","US$ 12,25",US$ 40.487.404,US$ 50.609.255
Bubblemaps  BMT,"US$ 0,09202",US$ 19.556.427,US$ 23.568.478,US$ 91.999.356
Bucket Protocol BUCK Stablecoin  BUCK,"US$ 0,9994",US$ 2.983.403,US$ 47.238.176,US$ 47.238.176
Bucket Token  BUT,"US$ 0,01747","US$ 60.574,16",US$ 6.893.719,US$ 17.449.917
BugsCoin  BGSC,"US$ 0,01158",US$ 3.013.344,US$ 71.628.071,US$ 1.156.988.673
Bunni  BUNNI,"US$ 0,01021","US$ 150,66",US$ 7.246.463,US$ 10.022.478
BurnedFi  BURN,"US$ 2,11",US$ 218.959,US$ 27.614.910,US$ 27.614.861
BUSD  BUSD,"US$ 1,00","US$ 269,06",US$ 57.904.320,US$ 57.904.320
Buttcoin  BUTTCOIN,"US$ 0,007276",US$ 9.229.259,US$ 7.261.682,US$ 7.261.682
Butthole Coin  BUTTHOLE,"US$ 0,009196",US$ 1.474.088,US$ 9.237.455,US$ 9.237.455
BXN  BXN,"US$ 0,002074",US$ 578.079,US$ 32.091.273,US$ 103.705.061
Bybit Staked SOL  BBSOL,"US$ 160,48",US$ 308.955,US$ 207.312.862,US$ 207.312.862
Camelot Token  GRAIL,"US$ 381,05",US$ 145.881,US$ 7.505.125,US$ 32.274.570
Camino Network  CAM,"US$ 0,07493","US$ 63.736,02",US$ 24.420.171,US$ 68.810.822
CaptainBNB  CAPTAINBNB,"US$ 0,007272",US$ 3.010.528,US$ 7.351.500,US$ 7.351.500
Cardano  ADA,"US$ 0,7079",US$ 637.943.467,US$ 25.496.554.191,US$ 31.847.706.728
CargoX  CXO,"US$ 0,2209","US$ 7.083,26",US$ 36.922.939,US$ 47.516.268
Carrot  CRT,"US$ 107,85","US$ 19.305,17",US$ 14.346.225,US$ 14.346.226
Carry  CRE,"US$ 0,0014","US$ 1,99",US$ 14.004.907,US$ 14.004.907
Cartesi  CTSI,"US$ 0,07064",US$ 6.811.931,US$ 61.275.842,US$ 70.637.417
CARV  CARV,"US$ 0,3473",US$ 8.397.729,US$ 89.587.134,US$ 347.195.892
Casper Network  CSPR,"US$ 0,01049",US$ 4.181.040,US$ 136.222.280,US$ 141.034.587
cat in a dogs world  MEW,"US$ 0,002906",US$ 48.277.595,US$ 258.355.324,US$ 258.355.324
Catizen  CATI,"US$ 0,09096",US$ 22.153.737,US$ 18.716.631,US$ 90.857.431
cBAT  CBAT,"US$ 0,003145","US$ 0,00",US$ 20.041.837,US$ 20.041.837
cDAI  CDAI,"US$ 0,02451","US$ 429,74",US$ 25.763.952,US$ 25.763.952
CEEK Smart VR  CEEK,"US$ 0,01581",US$ 1.198.596,US$ 15.315.630,US$ 15.821.934
Celer Network  CELR,"US$ 0,01055",US$ 7.482.498,US$ 59.568.885,US$ 105.516.537
Celestia  TIA,"US$ 2,93",US$ 57.507.340,US$ 1.793.857.159,US$ 3.269.874.402
Cellframe  CELL,"US$ 0,3258",US$ 496.615,US$ 9.380.052,US$ 9.689.624
Celo  CELO,"US$ 0,3554",US$ 17.089.320,US$ 201.847.812,US$ 355.391.898
Celo Dollar  CUSD,"US$ 1,00",US$ 1.874.223,US$ 35.583.078,US$ 35.583.579
Celo Euro  CEUR,"US$ 1,14",US$ 268.481,US$ 6.866.307,US$ 12.509.838
Central African Republic Meme  CAR,"US$ 0,01827",US$ 10.478.486,US$ 18.274.526,US$ 18.274.526
Centrifuge  CFG,"US$ 0,1539",US$ 715.430,US$ 79.699.754,US$ 86.752.735
Cere Network  CERE,"US$ 0,001123",US$ 111.906,US$ 7.458.348,US$ 11.236.009
cETH  CETH,"US$ 36,56","US$ 57,28",US$ 78.947.822,US$ 78.947.822
Cetus Protocol  CETUS,"US$ 0,1986",US$ 64.085.609,US$ 142.287.089,US$ 199.327.587
cgETH Hashkey Cloud  CGETH.HASHKEY,"US$ 1.852,83","US$ 1,85",US$ 330.225.678,US$ 330.225.678
Chain Games  CHAIN,"US$ 0,04461","US$ 21.146,90",US$ 16.946.120,US$ 22.015.333
Chain-key Bitcoin  CKBTC,"US$ 94.406,98","US$ 52.056,93",US$ 22.994.045,US$ 22.994.045
ChainBounty  BOUNTY,"US$ 0,05188",US$ 729.411,US$ 26.242.214,US$ 26.242.214
Chainflip  FLIP,"US$ 0,505",US$ 1.131.301,US$ 32.131.283,US$ 48.272.257
ChainGPT  CGPT,"US$ 0,1054",US$ 35.224.425,US$ 85.139.336,US$ 105.209.550
Chainlink  LINK,"US$ 14,88",US$ 309.431.107,US$ 9.775.661.272,US$ 14.876.977.190
ChainSwap  CSWAP,"US$ 0,01361","US$ 48.452,85",US$ 12.991.091,US$ 13.630.771
CHEDDA  CHDD,"US$ 0,0003373","US$ 20.443,61",US$ 24.372.155,US$ 24.372.155
Cheems Token  CHEEMS,"US$ 0,051401",US$ 5.452.817,US$ 285.259.065,US$ 285.259.065
CHEQD Network  CHEQ,"US$ 0,01646",US$ 263.124,US$ 14.786.958,US$ 20.285.861
CHEX Token  CHEX,"US$ 0,2045",US$ 927.079,US$ 204.320.083,US$ 204.320.083
Chia  XCH,"US$ 11,93",US$ 4.728.775,US$ 173.184.653,US$ 392.207.425
Chiliz  CHZ,"US$ 0,04289",US$ 66.963.703,US$ 409.787.046,US$ 409.790.869
Chromia  CHR,"US$ 0,1015",US$ 7.868.935,US$ 85.492.806,US$ 85.492.806
chrono.tech  TIME,"US$ 12,98",US$ 192.288,US$ 9.218.850,US$ 9.218.850
Civic  CVC,"US$ 0,1145",US$ 11.887.258,US$ 91.868.477,US$ 114.549.222
Clash of Lilliput  COL,"US$ 0,2826","US$ 22.717,58",US$ 23.190.425,US$ 282.553.696
clBTC  CLBTC,"US$ 94.864,30","US$ 29,35",US$ 704.198.306,US$ 704.198.306
Clearpool  CPOOL,"US$ 0,1489",US$ 10.312.292,US$ 113.199.929,US$ 148.957.867
Clore.ai  CLORE,"US$ 0,02453",US$ 1.314.900,US$ 12.817.151,US$ 12.903.304
Cloud  CLOUD,"US$ 0,08138",US$ 2.304.431,US$ 14.648.139,US$ 81.378.548
Clover Finance  CLV,"US$ 0,02824",US$ 3.653.070,US$ 34.571.374,US$ 56.482.669
Cobak  CBK,"US$ 0,5703",US$ 2.804.126,US$ 53.293.284,US$ 56.996.486
COCA  COCA,"US$ 0,1415",US$ 562.762,US$ 16.051.060,US$ 141.419.028
COCO COIN  COCO,"US$ 0,0007144",US$ 1.071.922,US$ 24.432.575,US$ 24.432.575
Cocoro  COCORO,"US$ 0,00003066",US$ 565.674,US$ 12.898.170,US$ 12.898.170
Coin98  C98,"US$ 0,06418",US$ 12.111.623,US$ 60.997.901,US$ 64.180.178
Coinbase Wrapped BTC  CBBTC,"US$ 94.647,36",US$ 168.646.333,US$ 3.850.491.820,US$ 3.850.491.820
Coinbase Wrapped Staked ETH  CBETH,"US$ 1.993,33",US$ 2.023.776,US$ 241.860.189,US$ 744.196.211
CoinEx  CET,"US$ 0,06795",US$ 113.212,US$ 183.191.490,US$ 183.191.569
Coinmetro  XCM,"US$ 0,0593","US$ 17.089,51",US$ 17.923.934,US$ 19.009.044
CoinNavigator  CNG,"US$ 7,74","US$ 49.183,07",US$ 7.969.528,US$ 7.737.405.962
Coinshift USDL Morpho Vault  CSUSDL,"US$ 1,02","$0,00",US$ 70.816.334,US$ 70.816.334
Cointel  COLS,"US$ 0,02862",US$ 1.236.304,US$ 11.458.066,US$ 286.451.655
Coinweb  CWEB,"US$ 0,002986","US$ 93.987,97",US$ 18.015.244,US$ 22.872.634
Collaterize  COLLAT,"US$ 0,01182",US$ 8.623.615,US$ 11.751.945,US$ 11.751.945
Colony  CLY,"US$ 0,08338","US$ 5.484,34",US$ 9.392.304,US$ 12.507.146
Comedian  BAN,"US$ 0,04926",US$ 14.984.829,US$ 49.334.044,US$ 49.334.044
Compound  COMP,"US$ 44,22",US$ 29.932.041,US$ 395.379.933,US$ 442.202.554
Compounding OpenDollar  CUSDO,"US$ 1,01",US$ 2.706.131,US$ 133.286.690,US$ 133.286.690
Comtech Gold  CGO,"US$ 106,38",US$ 1.237.102,US$ 11.609.537,US$ 11.609.537
Conan Meme  CONAN,"US$ 0,01017",US$ 455.942,US$ 8.452.609,US$ 8.452.609
Concordium  CCD,"US$ 0,004594",US$ 363.572,US$ 52.792.258,US$ 63.755.052
Conflux  CFX,"US$ 0,08006",US$ 29.274.883,US$ 410.411.628,US$ 450.190.866
Connex  CONX,"US$ 19,94","US$ 72.430,97",US$ 22.927.433,US$ 1.993.689.826
Conscious Token  CONSCIOUS,"US$ 0,1471","US$ 22.339,36",US$ 147.092.188,US$ 147.092.188
Constellation  DAG,"US$ 0,03945",US$ 1.745.602,US$ 140.099.479,US$ 140.099.580
ConstitutionDAO  PEOPLE,"US$ 0,01588",US$ 64.124.630,US$ 80.451.259,US$ 80.451.259
Contentos  COS,"US$ 0,003724",US$ 3.227.282,US$ 19.265.495,US$ 36.847.111
Convex Finance  CVX,"US$ 2,87",US$ 25.930.291,US$ 235.441.355,US$ 286.804.400
Cookie DAO  COOKIE,"US$ 0,1369",US$ 21.231.547,US$ 61.673.981,US$ 136.857.291
Coq Inu  COQ,"US$ 0,067114",US$ 4.849.139,US$ 49.405.487,US$ 49.405.487
Core  CORE,"US$ 0,7314",US$ 17.632.092,US$ 731.331.341,US$ 1.535.901.399
Coreum  COREUM,"US$ 0,12",US$ 259.939,US$ 78.062.145,US$ 78.062.145
CorgiAI  CORGIAI,"US$ 0,0001492","US$ 34.165,91",US$ 51.260.901,US$ 55.583.853
Corn  CORN,"US$ 0,04487",US$ 3.200.837,US$ 23.427.086,US$ 93.708.345
Cornucopias  COPI,"US$ 0,01476",US$ 100.661,US$ 15.159.836,US$ 56.665.305
Cortex  CTXC,"US$ 0,09176",US$ 7.645.854,US$ 21.026.881,US$ 27.513.343
Cortex  CX,"US$ 0,06322",US$ 716.661,US$ 76.498.133,US$ 104.100.051
Cosmos Hub  ATOM,"US$ 4,59",US$ 114.684.691,US$ 2.050.377.299,US$ 2.050.408.666
COTI  COTI,"US$ 0,081",US$ 32.233.381,US$ 145.078.581,US$ 161.890.141
Counterparty  XCP,"US$ 4,44","US$ 88,75",US$ 11.504.358,US$ 11.756.209
Coupon Assets  CA,"US$ 0,8576",US$ 1.031.153,US$ 15.772.720,US$ 231.544.935
Covalent X Token  CXT,"US$ 0,03307",US$ 1.480.871,US$ 30.343.706,US$ 33.070.509
CoW Protocol  COW,"US$ 0,3125",US$ 39.635.130,US$ 130.342.612,US$ 312.365.882
Cratos  CRTS,"US$ 0,0002693",US$ 558.405,US$ 16.907.415,US$ 26.899.019
CreatorBid  BID,"US$ 0,0523",US$ 5.435.945,US$ 13.981.387,US$ 52.081.277
Creditcoin  CTC,"US$ 0,7158",US$ 28.122.860,US$ 321.716.159,US$ 429.512.238
Cronos  CRO,"US$ 0,09208",US$ 21.270.865,US$ 2.529.881.160,US$ 8.971.904.223
Cronos Bridged USDC (Cronos)  USDC,"US$ 1,00",US$ 419.998,US$ 129.475.828,US$ 129.475.828
Cronos Bridged USDT (Cronos)  USDT,"US$ 1,00",US$ 605.957,US$ 87.858.675,US$ 87.858.675
Cronos Bridged WBTC (Cronos)  WBTC,"US$ 94.148,65","US$ 89.604,81",US$ 47.487.639,US$ 47.487.639
Cronos zkEVM CRO  ZKCRO,"US$ 0,0958","US$ 889,08",US$ 14.523.448,US$ 14.523.448
Cross The Ages  CTA,"US$ 0,01766",US$ 125.806,US$ 7.523.335,US$ 8.831.414
CrossFi  XFI,"US$ 0,1788",US$ 772.196,US$ 7.546.683,US$ 67.589.643
crow with knife  CAW,"US$ 0,072113",US$ 129.221,US$ 16.195.036,US$ 16.195.036
Crown by Third Time Games  CROWN,"US$ 0,0902",US$ 177.508,US$ 22.550.624,US$ 22.550.624
crvUSD  CRVUSD,"US$ 1,00",US$ 8.264.753,US$ 151.845.901,US$ 151.845.901
Cryptex Finance  CTX,"US$ 1,87",US$ 2.136.082,US$ 14.094.335,US$ 18.752.698
Crypto Trading Fund  CTF,"US$ 0,5292","US$ 2.342,12",US$ 63.398.783,US$ 63.398.783
CryptoAutos  AUTOS,"US$ 0,01394",US$ 210.261,US$ 7.236.381,US$ 13.913.152
CryptoFarmers  FARM,"US$ 0,3901","US$ 3.454,04",US$ 11.604.403,US$ 19.501.603
Cudos  CUDOS,"US$ 0,00506","US$ 3.487,13",US$ 37.315.350,US$ 47.143.240
Curve DAO  CRV,"US$ 0,6714",US$ 178.339.641,US$ 895.904.538,US$ 1.512.812.891
cUSDC  CUSDC,"US$ 0,02479","US$ 258,11",US$ 35.238.424,US$ 35.238.424
cWBTC  CWBTC,"US$ 1.900,60","US$ 0,00",US$ 254.706.029,US$ 254.706.029
CYBER  CYBER,"US$ 1,40",US$ 9.259.088,US$ 52.707.259,US$ 140.190.065
CZ'S Dog  BROCCOLI,"US$ 0,03647",US$ 49.735.562,US$ 36.433.931,US$ 36.433.931
Dacxi  DXI,"US$ 0,0009333",US$ 345.035,US$ 31.131.861,US$ 31.131.861
Daddy Tate  DADDY,"US$ 0,04062",US$ 2.667.373,US$ 24.360.590,US$ 24.360.590
Dai  DAI,US$ 1,US$ 54.636.617,US$ 3.269.494.346,US$ 3.278.662.742
Daku  DAKU,"US$ 0,0606",US$ 148.548,US$ 60.240.280,US$ 60.240.280
DAO Maker  DAO,"US$ 0,1497",US$ 3.129.937,US$ 37.566.643,US$ 41.548.684
Dar Open Network  D,"US$ 0,04974",US$ 7.263.856,US$ 31.984.054,US$ 39.786.573
Dark Eclipse  DARK,"US$ 0,03437",US$ 39.992.697,US$ 34.469.041,US$ 34.469.041
Dash  DASH,"US$ 22,54",US$ 24.727.637,US$ 275.801.605,US$ 275.829.263
DEAPCOIN  DEP,"US$ 0,001215",US$ 930.327,US$ 33.495.658,US$ 36.375.437
deBridge  DBR,"US$ 0,01658",US$ 18.893.279,US$ 48.231.693,US$ 165.700.847
DebtReliefBot  DRB,"US$ 0,00006954",US$ 4.287.619,US$ 6.956.063,US$ 6.956.063
Decentraland  MANA,"US$ 0,3261",US$ 48.579.739,US$ 608.849.872,US$ 714.844.986
Decentralized Social  DESO,"US$ 6,17",US$ 856.287,US$ 64.771.935,US$ 66.470.766
DecideAI  DCD,"US$ 0,01674",US$ 182.676,US$ 8.274.700,US$ 16.455.281
Decred  DCR,"US$ 14,11",US$ 2.516.895,US$ 236.485.557,US$ 236.512.535
DeepBook  DEEP,"US$ 0,1719",US$ 71.537.472,US$ 428.947.473,US$ 1.715.789.893
DeFi Kingdoms  JEWEL,"US$ 0,0602","US$ 1.425,67",US$ 6.774.588,US$ 7.220.686
DeFi Pulse Index  DPI,"US$ 74,71","US$ 15.728,87",US$ 10.524.780,US$ 10.524.780
Defi.money  MONEY,"US$ 0,9944","US$ 25.688,83",US$ 10.136.079,US$ 10.135.079
DEFI.ssi  DEFI.SSI,"US$ 0,5115",US$ 243.378,US$ 13.435.845,US$ 13.435.845
DeFiChain  DFI,"US$ 0,0116",US$ 1.509.040,US$ 10.209.330,US$ 13.927.576
Defiway  DEFI,"US$ 0,3192","US$ 19,39",US$ 31.915.275,US$ 31.915.275
DeGate  DG,"US$ 0,0714","US$ 10.045,43",US$ 27.645.691,US$ 71.395.986
Degen  DEGEN,"US$ 0,003273",US$ 15.191.781,US$ 75.159.685,US$ 121.002.542
Dego Finance  DEGO,"US$ 2,42",US$ 9.857.365,US$ 50.911.990,US$ 50.911.990
Delysium  AGI,"US$ 0,0746",US$ 17.157.715,US$ 122.761.107,US$ 223.465.350
Dent  DENT,"US$ 0,0008354",US$ 5.611.320,US$ 79.918.068,US$ 83.548.273
Department Of Government Efficiency  DOGE,"US$ 0,01403",US$ 1.801.826,US$ 13.733.390,US$ 13.733.390
Derive  DRV,"US$ 0,02836","US$ 31.823,69",US$ 22.454.906,US$ 28.362.588
DevvE  DEVVE,"US$ 0,76",US$ 493.225,US$ 66.417.974,US$ 91.202.215
Dexalot  ALOT,"US$ 0,4042","US$ 51.671,39",US$ 22.714.363,US$ 40.415.449
DexCheck AI  DCK,"US$ 0,009512",US$ 229.550,US$ 6.702.444,US$ 9.140.797
DeXe  DEXE,"US$ 13,16",US$ 19.485.363,US$ 751.535.803,US$ 1.270.085.246
DexNet  DEXNET,"US$ 0,03095",US$ 110.074,US$ 12.380.422,US$ 92.834.153
DexTools  DEXT,"US$ 0,2486",US$ 135.301,US$ 19.518.861,US$ 29.964.853
DFI.money  YFII,"US$ 192,17",US$ 119.774,US$ 7.635.429,US$ 7.686.909
dForce  DF,"US$ 0,0587",US$ 2.189.868,US$ 58.702.981,US$ 58.702.981
dForce USD  USX,"US$ 0,9974","US$ 14.635,09",US$ 15.412.899,US$ 134.219.663
DIA  DIA,"US$ 0,5241",US$ 18.982.671,US$ 62.733.061,US$ 88.492.376
Diamond  DMD,"US$ 2,66","US$ 16.569,98",US$ 10.271.209,US$ 11.652.973
DigiByte  DGB,"US$ 0,01029",US$ 5.085.987,US$ 181.682.095,US$ 181.703.290
Dimitra  DMTR,"US$ 0,0242",US$ 180.218,US$ 23.503.385,US$ 23.503.385
DIMO  DIMO,"US$ 0,07497",US$ 456.153,US$ 23.947.443,US$ 74.973.312
Dinero  DINERO,"US$ 0,01393",US$ 193.226,US$ 9.943.625,US$ 17.336.808
Dione  DIONE,"US$ 0,001718",US$ 113.580,US$ 17.433.677,US$ 23.083.969
district0x  DNT,"US$ 0,03123",US$ 711.231,US$ 23.463.613,US$ 31.233.938
Districts  DSTRX,"US$ 0,05197",US$ 194.328,US$ 6.394.925,US$ 6.496.380
Diverge Loop  DLC,"US$ 0,1609","US$ 71.510,53",US$ 143.177.298,US$ 160.873.369
Divi  DIVI,"US$ 0,001698",US$ 143.982,US$ 7.248.048,US$ 7.250.046
dKargo  DKA,"US$ 0,01842",US$ 1.385.321,US$ 86.069.091,US$ 91.823.354
Dmail Network  DMAIL,"US$ 0,1025",US$ 1.896.361,US$ 9.604.517,US$ 20.482.540
DODO  DODO,"US$ 0,05199",US$ 11.194.125,US$ 51.992.502,US$ 51.992.502
Dog (Bitcoin)  DOG,"US$ 0,002743",US$ 30.846.809,US$ 274.248.767,US$ 274.248.767
Doge Killer  LEASH,"US$ 156,36",US$ 1.031.212,US$ 16.814.162,US$ 16.818.362
DOGEai  $DOGEAI,"US$ 0,01192",US$ 2.384.717,US$ 9.168.501,US$ 11.956.073
Dogecoin  DOGE,"US$ 0,1819",US$ 1.565.691.951,US$ 27.095.814.051,US$ 27.108.924.721
Dogelon Mars  ELON,"US$ 0,061418",US$ 3.846.087,US$ 78.101.178,US$ 142.092.571
doginme  DOGINME,"US$ 0,000565",US$ 10.415.688,US$ 38.202.522,US$ 38.202.522
Dogs  DOGS,"US$ 0,0001566",US$ 23.234.797,US$ 80.933.832,US$ 86.141.476
dogwifhat  WIF,"US$ 0,6513",US$ 415.090.855,US$ 651.084.444,US$ 651.084.444
DOLA  DOLA,"US$ 0,9996",US$ 889.947,US$ 63.618.109,US$ 214.161.940
Dolomite  DOLO,"US$ 0,06431",US$ 11.940.957,US$ 23.316.043,US$ 64.463.451
Dora Factory  DORA,"US$ 0,02594",US$ 1.017.452,US$ 25.942.072,US$ 25.942.072
DOVU  DOVU,"US$ 0,0008268",US$ 104.929,US$ 8.199.069,US$ 8.268.135
Draggin Karma Points  DKP,"US$ 0,001676","US$ 3.441,91",US$ 6.687.811,US$ 13.405.547
Dragonchain  DRGN,"US$ 0,08999",US$ 198.877,US$ 33.165.350,US$ 39.010.578
Dream Machine Token  DMT,"US$ 7,12",US$ 208.697,US$ 7.081.888,US$ 7.081.888
Drift Protocol  DRIFT,"US$ 0,5428",US$ 16.891.661,US$ 161.468.091,US$ 542.629.321
Drift Staked SOL  DSOL,"US$ 164,93","US$ 78.912,85",US$ 209.252.789,US$ 209.252.789
Drop Staked ATOM  DATOM,"US$ 5,10",US$ 440.139,US$ 8.903.060,US$ 8.903.060
Drop Staked NTRN  DNTRN,"US$ 0,1434",US$ 107.712,US$ 20.905.838,US$ 20.905.838
DuckChain Token  DUCK,"US$ 0,003226",US$ 7.249.912,US$ 18.993.529,US$ 32.192.422
DUSK  DUSK,"US$ 0,09276",US$ 4.664.938,US$ 46.369.940,US$ 46.369.940
dYdX  DYDX,"US$ 0,6718",US$ 12.046.162,US$ 514.775.291,US$ 592.303.783
dYdX  ETHDYDX,"US$ 0,6716",US$ 9.649.262,US$ 60.027.996,US$ 144.250.543
Dymension  DYM,"US$ 0,3455",US$ 13.074.169,US$ 95.943.086,US$ 344.703.242
e-Radix  EXRD,"US$ 0,009943","US$ 33.748,58",US$ 8.267.693,US$ 8.267.693
Eafin  EAFIN,"US$ 0,09898","US$ 13.011,56",US$ 21.589.843,US$ 160.218.600
Eagle AI  EAI,"US$ 0,4105",US$ 312.685,US$ 17.649.625,US$ 41.052.204
eCash  XEC,"US$ 0,00002399",US$ 35.116.034,US$ 476.101.908,US$ 476.105.130
Echelon Prime  PRIME,"US$ 2,98",US$ 5.940.184,US$ 172.450.790,US$ 330.716.597
Eclipse Bridged USDC (Eclipse)  USDC,"US$ 0,9994",US$ 1.089.322,US$ 13.389.744,US$ 13.389.744
Ecoin  ECOIN,"US$ 0,000206","US$ 96,56",US$ 94.998.652,US$ 206.016.426
ECOMI  OMI,"US$ 0,00021",US$ 2.058.179,US$ 56.893.463,US$ 65.278.001
ECOx  ECOX,"US$ 0,02614","US$ 14.972,60",US$ 12.874.609,US$ 26.001.780
Edge  EDGE,"US$ 0,8621","US$ 37.897,51",US$ 35.144.802,US$ 51.481.249
Edgeware  EDG,"US$ 0,002288",US$ 569.701,US$ 15.904.560,US$ 16.955.737
Edwin  EDWIN,"US$ 0,009769",US$ 248.096,US$ 9.656.661,US$ 9.853.743
Efinity  EFI,"US$ 0,1116","US$ 3.490,62",US$ 9.702.068,US$ 223.253.807
Eggs Finance  EGGS,"US$ 0,0006137",US$ 983.383,US$ 39.558.440,US$ 39.558.440
Eigenlayer  EIGEN,"US$ 1,02",US$ 32.254.009,US$ 266.501.558,US$ 1.749.586.343
Ekubo Protocol  EKUBO,"US$ 4,76",US$ 293.566,US$ 47.637.399,US$ 47.637.399
Elastos  ELA,"US$ 1,25",US$ 208.558,US$ 28.452.311,US$ 32.435.001
Electroneum  ETN,"US$ 0,001485",US$ 2.348.042,US$ 26.712.726,US$ 31.199.830
Electronic USD  EUSD,"US$ 0,9997",US$ 553.933,US$ 25.399.775,US$ 25.399.775
Elephant Money  ELEPHANT,"US$ 0,074047","US$ 1.756,52",US$ 20.166.442,US$ 40.468.115
Elephant Money (TRUNK)  TRUNK,"US$ 0,06425","US$ 2.843,84",US$ 7.620.413,US$ 7.620.413
Elixir  ELX,"US$ 0,1111",US$ 21.182.822,US$ 17.749.342,US$ 111.170.192
Elixir deUSD  DEUSD,"US$ 0,9994",US$ 1.696.272,US$ 178.214.546,US$ 178.214.546
Elixir Staked deUSD  SDEUSD,"US$ 1,04","US$ 11.685,88",US$ 120.552.290,US$ 120.553.776
Ellipsis [OLD]  EPS,"US$ 0,01819","US$ 163,44",US$ 12.707.946,US$ 13.167.464
Elon4AfD  ELON4AFD,"US$ 0,01428",US$ 144.518,US$ 14.267.504,US$ 14.267.504
ElonXCat  EXC,"US$ 0,062199","US$ 3.253,44",US$ 22.016.018,US$ 109.928.702
Elys  ELYS,"US$ 0,2315",US$ 164.523,US$ 7.164.793,US$ 34.899.787
ELYSIA  EL,"US$ 0,004397",US$ 300.491,US$ 29.912.517,US$ 29.912.517
Empyreal  EMP,"US$ 57,46","US$ 92.280,70",US$ 17.237.740,US$ 17.237.740
Enecuum  ENQ,"US$ 0,04998","US$ 0,00",US$ 14.665.478,US$ 14.665.478
Energy Web  EWT,"US$ 0,7055","US$ 69.427,60",US$ 42.648.152,US$ 48.690.452
Enjin Coin  ENJ,"US$ 0,09057",US$ 33.720.955,US$ 165.760.088,US$ 171.148.965
Entangle  NTGL,"US$ 0,0003775","US$ 6.278,15",US$ 227.958.231,US$ 318.224.862
Enzyme  MLN,"US$ 9,57",US$ 7.993.628,US$ 28.743.393,US$ 28.743.393
EOS  EOS,"US$ 0,6792",US$ 163.227.704,US$ 1.029.301.881,US$ 1.424.981.343
Epic Chain  EPIC,"US$ 1,40",US$ 11.155.451,US$ 31.212.446,US$ 42.094.702
Equilibria Finance  EQB,"US$ 0,2991","US$ 8.061,12",US$ 10.030.176,US$ 29.882.333
Equilibria Finance ePENDLE  EPENDLE,"US$ 1,92","US$ 63,54",US$ 15.942.509,US$ 15.942.509
Ergo  ERG,"US$ 0,7978","US$ 78.522,48",US$ 64.279.285,US$ 77.980.258
Escoin  ELG,"US$ 0,2757",US$ 312.968,US$ 50.782.333,US$ 68.919.380
Ethena  ENA,"US$ 0,364",US$ 128.436.026,US$ 2.019.876.129,US$ 5.456.052.572
Ethena Staked USDe  SUSDE,"US$ 1,17",US$ 5.109.099,US$ 2.100.884.800,US$ 2.100.882.464
Ethena USDe  USDE,"US$ 0,9993",US$ 56.612.702,US$ 4.766.190.719,US$ 4.764.731.133
Ether.fi  ETHFI,"US$ 0,6109",US$ 43.599.692,US$ 142.300.074,US$ 610.473.574
Ether.fi Staked BTC  EBTC,"US$ 94.968,52",US$ 508.370,US$ 290.114.467,US$ 290.114.467
